Titre original,Titre français,URL affiche,Genres,Réalisateur,Photo réal,Acteur/Actrice principal(e),Photo acteur,Année de sortie
Blade Runner 2049,Blade Runner 2049,https://image.tmdb.org/t/p/w500/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,"Science Fiction, Drama",Denis Villeneuve,https://image.tmdb.org/t/p/w185/zdDx9Xs93UIrJFWYApYR28J8M6b.jpg,Ryan Gosling,https://image.tmdb.org/t/p/w185/asoKC7CLCqpZKZDL6iovNurQUdf.jpg,2017
Dunkirk,Dunkerque,https://image.tmdb.org/t/p/w500/b4Oe15CGLL61Ped0RAS9JpqdmCt.jpg,"War, Action, Drama",Christopher Nolan,https://image.tmdb.org/t/p/w185/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg,Fionn Whitehead,https://image.tmdb.org/t/p/w185/2JjRhwG6BEWeF4n9TlvDEDzlP5P.jpg,2017
Wonder Woman,Wonder Woman,https://image.tmdb.org/t/p/w500/v4ncgZjG2Zu8ZW5al1vIZTsSjqX.jpg,"Action, Adventure, Fantasy",Patty Jenkins,https://image.tmdb.org/t/p/w185/za4JYxjctECHLJJel3lEFPsbeht.jpg,Gal Gadot,https://image.tmdb.org/t/p/w185/qCJB1ACi5VjtY4ypXuv3hjAvbSu.jpg,2017
Underworld: Blood Wars,Underworld : Blood Wars,https://image.tmdb.org/t/p/w500/v1ciDCWMG47gdT4kMyjyQbnLQQn.jpg,"Fantasy, Action, Thriller, Science Fiction",Anna Foerster,https://image.tmdb.org/t/p/w185/yTQF3fF3PCbP3O5QMVkUzKcq34T.jpg,Kate Beckinsale,https://image.tmdb.org/t/p/w185/s8XboSrYMSItcCHXwYCyZPOz8Jx.jpg,2016
Captain Marvel,Captain Marvel,https://image.tmdb.org/t/p/w500/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,"Action, Adventure, Science Fiction",Ryan Fleck,https://image.tmdb.org/t/p/w185/28EMTivPGStNxDivgUP8PSpOrof.jpg,Brie Larson,https://image.tmdb.org/t/p/w185/xSGvMwNNJcEQvVcjiIUTyxyMfkZ.jpg,2019
GoodFellas,Les Affranchis,https://image.tmdb.org/t/p/w500/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,"Drama, Crime",Martin Scorsese,https://image.tmdb.org/t/p/w185/9U9Y5GQuWX3EZy39B8nkk4NY01S.jpg,Robert De Niro,https://image.tmdb.org/t/p/w185/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg,1990
65,65 : La Terre d'avant,https://image.tmdb.org/t/p/w500/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,"Action, Adventure, Science Fiction",Bryan Woods,https://image.tmdb.org/t/p/w185/4rPYnBaMTv5P0L1HoxOIuQoqliR.jpg,Adam Driver,https://image.tmdb.org/t/p/w185/rsjwgpV2OukxOJ9HEiEyf4qu1vR.jpg,2023
The Girl on the Train,La Fille du train,https://image.tmdb.org/t/p/w500/AhTO2QWG0tug7yDoh0XoaMhPt3J.jpg,"Thriller, Mystery, Drama, Crime",Tate Taylor,https://image.tmdb.org/t/p/w185/iupMPA0UwdFAO66fjlsHF1iZlT5.jpg,Emily Blunt,https://image.tmdb.org/t/p/w185/5nCSG5TL1bP1geD8aaBfaLnLLCD.jpg,2016
The Karate Kid,Karaté Kid,https://image.tmdb.org/t/p/w500/qV8xTWfknTOSErSa0b9Iay2QztS.jpg,"Action, Adventure, Drama, Family",Harald Zwart,https://image.tmdb.org/t/p/w185/1ncMe83Yo8SAj2o8z71eGQUPMBK.jpg,Jaden Smith,https://image.tmdb.org/t/p/w185/9DoxXYjXTb9SGH2kkWNOtqmi2Ve.jpg,2010
Black Widow,Black Widow,https://image.tmdb.org/t/p/w500/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,"Action, Adventure, Science Fiction",Cate Shortland,https://image.tmdb.org/t/p/w185/b9pfbBKyYcsBZHAcjY8iIdTXclY.jpg,Scarlett Johansson,https://image.tmdb.org/t/p/w185/6NsMbJXRlDZuDzatN2akFdGuTvx.jpg,2021
